Final Column,Original Column,Note,Date Created,Group,Votes,Retro Date,Technique Name,Wrap Up Participants,Wrap Up Average Rating
Sad,Sad,our current layout of website is not organized and our color choices are questioned,2022-11-29T19:00:57.714Z,Layout,5,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,all the members are contributing to the project and the flow is smooth,2022-11-29T19:01:20.568Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,All the codes are clean and organized and easy for later maintenance . All the functions' comments and in-line comments are implemented,2022-11-29T19:25:36.331Z,,3,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,Using Puppeteer for unit testing is frustrating and I felt that this is the part that our lab does not sufficiently cover the most,2022-11-29T20:39:07.490Z,,5,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,that we need to make last minute design changes,2022-11-29T20:51:02.868Z,,3,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,"sad the ta did not like our color palate ",2022-11-29T20:51:35.346Z,Layout,5,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,we have made a lot of progress and are almost done,2022-11-29T20:52:13.216Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,Was able to implement a lot of features that I was not able before through the process of independent research and exploration,2022-11-30T00:53:38.152Z,,2,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,Time management appears to be a problem for myself,2022-11-30T00:54:50.735Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,it was frustrating with merging issues sometimes,2022-11-30T01:31:06.546Z,,3,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,"i wish i could have had more time to work on more features ",2022-11-30T01:32:30.994Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,i was able to work on a new idea,2022-11-30T01:32:48.093Z,,2,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Mad,Mad,saving reminders local storage,2022-11-30T01:34:11.935Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,quarter ending so soon,2022-11-30T01:34:40.546Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Glad,Glad,the website looks great!,2022-11-30T01:34:52.973Z,,4,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
Sad,Sad,Felt that catching up with the team status can be not only inefficient but also hard to get,2022-11-30T01:34:57.920Z,,1,2022-11-30T01:57:37.896Z,"Mad, Sad, Glad",1,3
